Running Time:     ,Nodes Expanded:   ,Cost of Path:     ,Max Fringe Size:  ,Search Depth:     ,Fringe Size:      ,Max Search Depth: ,Search Method:    
12.795987129211426,144588,25,25133,26,18048,27,BFS
13.975622177124023,160845,26,24048,27,12069,28,BFS
14.894590139389038,169497,26,24049,27,6822,28,BFS
8.261230945587158,90652,22,23972,23,21427,24,BFS
9.293859004974365,105092,23,25134,24,23884,25,BFS
13.770644903182983,160397,25,25136,26,10361,27,BFS
12.270576000213623,138339,24,24053,25,16373,26,BFS
10.34552812576294,118037,24,24048,25,23596,26,BFS
6.24224591255188,72743,21,21830,22,20858,23,BFS
1.3895149230957031,16346,17,8140,18,8139,19,BFS
13.026587009429932,149815,25,25133,26,15907,27,BFS
10.463325023651123,118911,23,25134,24,20005,25,BFS
14.389682054519653,163271,26,24983,27,11304,28,BFS
4.6797380447387695,49053,20,18787,21,18773,22,BFS
6.2428669929504395,65985,21,21826,22,21613,23,BFS
5.810056924819946,62789,21,21826,22,21805,23,BFS
13.99692702293396,158241,25,25133,26,11659,27,BFS
7.906487941741943,93166,22,23980,23,20961,24,BFS
8.057476043701172,93332,22,23980,23,20924,24,BFS
12.223960161209106,139550,24,24048,25,15855,26,BFS
6.0318639278411865,64470,21,21826,22,21715,23,BFS
4.7561869621276855,55389,20,18858,21,18796,22,BFS
15.200198888778687,176461,27,25133,28,3570,29,BFS
0.05293703079223633,608,10,366,11,365,12,BFS
11.543400049209595,134044,24,24983,25,19795,26,BFS
8.029301881790161,90041,22,23980,23,21644,24,BFS
5.568840026855469,63370,21,21811,22,21704,23,BFS
0.5125081539154053,5877,15,3508,16,3507,17,BFS
6.64175009727478,76482,21,21826,22,20370,23,BFS
2.3107211589813232,26754,18,11817,19,11806,20,BFS
5.613322973251343,62364,21,21826,22,21790,23,BFS
1.6697680950164795,19360,17,8542,18,8536,19,BFS
12.487098932266235,139305,24,24983,25,17789,26,BFS
3.28989315032959,38487,19,14681,20,14670,21,BFS
1.994149923324585,23474,18,10459,19,10458,20,BFS
3.6324269771575928,41847,20,17245,21,17241,22,BFS
4.700703859329224,54432,20,18858,21,18843,22,BFS
8.856274127960205,100592,23,25134,24,24886,25,BFS
1.8934810161590576,22417,18,10262,19,10260,20,BFS
14.327157020568848,165795,26,24983,27,9901,28,BFS
8.636465072631836,99040,23,25133,24,25095,25,BFS
3.4173591136932373,40438,19,14834,20,14780,21,BFS
5.264566898345947,62652,20,18858,21,18508,22,BFS
9.133837938308716,106884,23,25134,24,23468,25,BFS
11.889482975006104,137885,24,24983,25,18334,26,BFS
0.631195068359375,7884,15,4051,16,4050,17,BFS
11.750147819519043,130950,24,24049,25,19286,26,BFS
6.673861026763916,77749,22,23972,23,23456,24,BFS
10.29080581665039,120612,23,25136,24,19510,25,BFS
8.736869096755981,99516,23,25134,24,25060,25,BFS
1.3978381156921387,16529,17,8167,18,8165,19,BFS
3.3758130073547363,40153,19,14747,20,14741,21,BFS
9.227080821990967,104230,23,25134,24,24110,25,BFS
2.0384140014648438,24350,18,10609,19,10608,20,BFS
13.8910231590271,159617,25,25133,26,10868,27,BFS
4.168844938278198,48605,20,17259,21,17230,22,BFS
4.550771951675415,52869,20,18816,21,18804,22,BFS
10.490560054779053,122152,23,25136,24,18893,25,BFS
8.988670110702515,103003,23,25136,24,24538,25,BFS
2.8074209690093994,32084,19,14435,20,14434,21,BFS
15.150925874710083,171545,26,24983,27,6222,28,BFS
9.40933609008789,105872,23,25133,24,23947,25,BFS
10.56934404373169,120840,24,24049,25,22851,26,BFS
13.823249816894531,160105,26,24054,27,12441,28,BFS
13.89696717262268,160439,25,25133,26,10347,27,BFS
11.65596604347229,133117,24,24048,25,18506,26,BFS
10.820214033126831,118991,24,24048,25,23338,26,BFS
1.9019451141357422,21518,18,10182,19,10179,20,BFS
6.67206597328186,73624,22,23980,23,23861,24,BFS
14.457818984985352,156657,25,25134,26,12569,27,BFS
5.448769807815552,60348,21,21811,22,21767,23,BFS
15.66989803314209,177450,27,25133,28,2816,29,BFS
13.725659132003784,159950,26,24049,27,12523,28,BFS
2.0317819118499756,24520,18,10642,19,10638,20,BFS
8.023391962051392,93557,22,24983,23,22992,24,BFS
2.0420501232147217,24363,18,10601,19,10600,20,BFS
14.180722951889038,163685,26,24983,27,11096,28,BFS
3.3330068588256836,39101,20,17140,21,17137,22,BFS
7.16840386390686,81795,22,23973,23,22866,24,BFS
9.655452966690063,106241,23,25136,24,23862,25,BFS
1.4476590156555176,16137,17,8098,18,8097,19,BFS
